Results from query to  NASA/IPAC Extragalactic Database (NED),,,,,,,,,,,,,,,,
which is funded by the National Aeronautics and Space Administration.,,,,,,,,,,,,,,,,
and operated by the California Institute of Technology.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
queryDateTime:2024-06-24T19:37:35PDT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Main Information Table for All Sky,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Equinox:J2000.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CoordSystem:Equatorial,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
68,MCG -02-01-014,1.00636,-11.17427,G,11360,0.037893,SUN,14.5,0,43,2,48,10,8,9,0
69,V Zw 001,1.01537,51.73467,GGroup,12098,0.040355,SUN,,0,3,1,4,3,1,0,1
70,WISEA J000403.69+241948.5,1.01542,24.33017,G,13799,0.046027,PUN,2.5,0,3,0,38,7,1,2,0
71,NGC 7813,1.038,-11.98389,G,9122,0.030428,UUN,15.1b,0,31,2,47,12,9,3,0
72,UGC 00023,1.05435,10.79017,G,7975,0.026602,S1L,14.73,0,37,1,35,15,11,7,0
73,WISEA J000415.52+331821.5,1.06467,33.30594,G,14816,0.049422,PUN,16.09,0,7,0,34,8,1,2,0
74,WISEA J000419.73-124713.7,1.08208,-12.78717,G,11711,0.039064,SLS,14.2I,0,5,0,36,6,3,2,0
75,WISEA J000420.30+312030.8,1.08448,31.34194,G,9340,0.031154,PUN,15.78,0,5,0,34,7,1,2,0
76,NGC 7819,1.10227,31.47206,G,4955,0.016528,S1L,14.18,0,126,1,52,32,25,8,0
77,WISEA J000424.66-494527.6,1.10296,-49.75753,G,10914,0.036405,SLS,16.71,0,3,0,34,7,3,2,0
78,UGC 00025,1.10429,6.17767,G,5071,0.016915,S1L,16,0,26,0,46,13,7,6,0
79,NGC 7820,1.12829,5.20028,G,3043,0.010151,SLS,13.87,0,36,1,43,16,10,7,0
80,2MFGC 00061,1.13467,8.105,G,6198,0.020674,SUN,16.9,0,13,0,36,9,5,2,0
81,WISEA J000433.99+382155.4,1.14167,38.36544,G,12467,0.041587,PUN,,0,3,0,36,6,1,2,0
82,WISEA J000434.23+562234.5,1.14271,56.37619,G,14188,0.047326,SUN,,0,4,0,38,5,2,2,0
83,MCG -02-01-018,1.14279,-9.05258,G,8725,0.029105,SLS,16.0g,0,21,0,57,9,8,11,0
84,WISEA J000437.04-124942.7,1.15429,-12.82858,G,9227,0.030778,SLS,16.2b,0,5,0,34,7,4,2,0
85,KUG 0002+265,1.18562,26.83247,G,7556,0.025204,UUN,14.6,0,30,0,41,14,13,2,0
86,HD 225244,1.18882,0.05657,!*,8994,0.03,PUN,8.91,0,2,0,30,4,1,4,0
87,NGC 7823,1.18996,-62.06156,G,4539,0.01514,SUN,13.4,0,26,1,45,12,5,16,0
88,CGCG 382-024,1.19675,-1.57022,G,7182,0.023957,SUN,15.1,0,29,0,57,16,11,5,0
89,MRK 0544,1.20258,-1.49844,G,7110,0.023716,SUN,15.14,0,32,0,43,8,8,5,0
90,LCRS B000218.1-382250,1.21254,-38.10194,G,13750,0.045865,SLS,16.29,0,8,0,38,9,2,2,0
91,AM 0002-280,1.26158,-27.71458,G,9952,0.033196,SLS,15.11,0,21,0,45,14,7,3,0
92,IC 1528,1.27238,-7.09342,G,3807,0.012699,S1L,13.5,0,63,1,46,20,15,6,0
93,NGC 7824,1.27597,6.92011,G,6137,0.020471,S1L,14.07,0,70,1,45,21,18,7,0
94,MCG -01-01-031,1.28154,-3.80603,G,7884,0.026298,SUN,15,0,19,0,40,11,7,3,0
95,WISEA J000510.14-231422.0,1.29225,-23.24006,G,8135,0.027135,SLS,16.39,0,8,0,36,8,3,2,0
96,UGC 00036,1.30787,6.772,G,6291,0.020985,SUN,14.45,0,77,2,46,25,20,6,0
97,NGC 7821,1.31967,-16.47692,G,7412,0.024724,S1L,13.77,0,42,2,54,19,12,5,0
98,WISEA J000523.36-081012.5,1.34732,-8.17011,G,9099,0.030351,SUN,16.44,0,16,0,40,10,5,2,0
99,LCSB S0012O,1.35141,-4.50427,G,10825,0.036108,SLS,16.43,0,6,0,37,7,2,2,0
100,ESO 349- G 023,1.36604,-35.94247,G,8677,0.028943,SLS,14.7r,0,20,1,43,14,7,16,0
101,CGCG 498-077,1.37146,32.52631,G,10422,0.034764,SUN,14.85,0,27,0,44,16,10,5,0
102,ESO 409-IG 015,1.38273,-28.09818,GPair,737,0.002459,S1L,15.01,0,52,2,25,19,10,13,1
103,WISEA J000532.51-110907.8,1.3855,-11.15222,G,13898,0.04636,SLS,16.1g,0,19,0,74,10,7,10,0
104,2MFGC 00077,1.40304,-53.89594,G,10725,0.035775,SLS,16.29,0,8,0,32,8,4,2,0
105,ESO 349- G 024,1.40567,-34.81417,G,8561,0.028556,SLS,16.15,0,17,1,25,10,3,12,2
106,ESO 028- G 009,1.42779,-75.70697,G,6045,0.020164,UUN,14.74,0,21,0,45,10,6,14,0
107,WISEA J000547.87+861232.6,1.45126,86.20942,G,11779,0.039289,PUN,16.78,0,4,0,31,5,1,2,0
108,KUG 0003+222A,1.46812,22.53567,G,6644,0.022162,SUN,15.5,0,33,1,33,9,5,3,0
109,2MFGC 00085,1.53829,28.31503,G,10955,0.036542,SUN,16.11,0,8,0,41,10,2,2,0
110,WISEA J000609.77-464819.5,1.54079,-46.8055,G,11180,0.037292,SLS,15.4b,0,5,0,35,6,3,2,0
111,ESO 472- G 014,1.55217,-22.85258,G,8160,0.027219,SUN,15.18,0,25,0,45,13,8,15,0
112,WISEA J000617.12+351113.6,1.57142,35.18719,G,13970,0.046599,SUN,,0,6,0,36,7,2,2,0
113,MRK 0335,1.58134,20.20291,G,7730,0.025785,SUN,14.0B,0,1002,19,299,82,73,4,0
114,WISEA J000619.63+354609.8,1.5817,35.76944,G,14431,0.048137,PUN,16.27,0,5,0,37,7,1,2,0
115,ESO 293-IG 034,1.58296,-41.49992,G,1512,0.005043,S1L,13.7,0,73,3,63,21,10,18,0
116,UGC 00046,1.59051,17.43359,GPair,5453,0.018189,S1L,14.6,0,19,2,11,6,4,3,0
117,NGC 7828,1.61279,-13.41611,G,5729,0.01911,S1L,14.4,0,47,3,39,12,8,4,0
118,NGC 7832,1.61858,-3.71614,G,6247,0.020838,UUN,13.89,0,35,1,39,17,11,5,0
119,FAIRALL 1207,1.65504,-75.00917,G,13855,0.046215,SLS,15.4R,0,5,0,32,5,3,2,0
120,UGC 00050,1.66729,26.15453,G,7556,0.025204,UUN,14.97,0,45,0,51,19,15,7,0
121,WISEA J000643.41-250446.5,1.68083,-25.07961,G,10095,0.033673,SUN,14.98,0,17,0,37,11,6,2,0
122,WISEA J000647.71-550426.8,1.69887,-55.07411,G,11073,0.036936,SLS,17.35,0,8,0,38,8,3,2,0
123,UGC 00052,1.70617,8.6285,G,5257,0.017535,SUN,14.1B,0,77,0,53,21,16,7,0
124,MCG -01-01-035,1.70852,-3.723,G,6384,0.021295,SLS,16,0,11,0,36,8,4,3,0
125,WISEA J000654.08-542242.2,1.72529,-54.37842,G,10966,0.036579,SLS,16.31,0,9,0,36,9,3,2,0
126,ESO 193- G 027,1.74329,-50.83872,G,10543,0.035168,SLS,15.5b,0,18,1,38,11,6,14,0
127,CGCG 517-016,1.77728,35.81827,G,11930,0.039794,SUN,15.6,0,9,0,33,8,2,4,0
128,ESO 293-IG 037,1.77804,-41.35561,G,13916,0.046419,SLS,14.2,0,20,1,42,11,4,18,0
129,WISEA J000708.16-585206.6,1.784,-58.86839,G,9230,0.030788,SLS,15.8,0,7,0,36,8,3,2,0
130,WISEA J000712.92-034737.0,1.80389,-3.7936,G,11506,0.03838,SLS,16.19,0,7,0,36,7,3,2,0
131,WISEA J000715.32-122811.2,1.8139,-12.46984,G,7210,0.02405,SLS,16.55,0,7,0,35,7,3,2,0
132,FGC 0007,1.81446,33.91728,G,13686,0.04565,PUN,15.5,0,14,0,36,8,1,2,0
133,IV Zw 006,1.81513,28.3515,G,12041,0.040164,SUN,16.5,0,9,1,32,8,2,2,0
134,NGC 0001,1.816,27.70808,G,4550,0.015177,UUN,13.65,0,127,3,63,25,23,8,0
135,NGC 0003,1.82,8.30164,G,3961,0.013212,S1L,14.2,0,41,2,49,17,10,6,0
136,ESO 078- G 016,1.83017,-64.54356,G,4908,0.016371,SLS,16.11,0,14,1,26,8,1,14,0
137,NGC 7831,1.83137,32.60925,G,5074,0.016925,S1L,13.6,0,72,2,33,23,16,6,0
138,WISEA J000721.11-815951.3,1.83746,-81.99761,G,10790,0.035993,PUN,,0,5,0,33,6,1,2,0
139,WISEA J000725.73+730102.3,1.85625,73.01747,G,13849,0.046194,PUN,,0,1,0,31,5,1,2,0
140,WISEA J000737.75-005356.9,1.90725,-0.89951,UvS,2775,0.009256,SLS,,0,2,0,16,6,3,0,0
141,ESO 050- GA005,1.90779,-72.19828,G,6347,0.021171,UUN,15.61,0,13,1,36,8,2,14,0
142,WISEA J000750.62-280526.9,1.96092,-28.09081,G,8124,0.027099,SLS,16.07,0,11,0,42,11,5,2,0
